NO,Y2019-1,Y2019-2,Y2018-1,Y2018-2,Y2018-3,Y2017-1,Y2017-2,Y2017-3,Y2016-1,Y2016-2,Y2016-3,Y2015-1,Y2015-2,Y2015-3,Y2014-1,Y2014-2,Y2014-3,Y2013-1,Y2013-2,Y2013-3,Y2012-1,Y2012-2,Y2012-3,Y2011-1,Y2011-2,Y2011-3,Y2010-1,Y2010-2,Y2010-3
63,tt8085790,tt8398892,tt3829266,tt6384998,tt7838252,tt4925292,tt5193790,tt6256468,tt4501244,tt4210112,tt5312306,tt3819668,tt3520418,tt4432058,tt2177771,tt2762334,tt3532850,tt1702439,tt2265116,tt2826126,tt1430626,tt1977739,tt2343475,tt1259521,tt1699227,tt2028550,tt1027718,tt1488032,tt1781755
64,tt6722030,tt8399088,tt7784604,tt6385856,tt7838494,tt5956100,tt5194048,tt6256872,tt4832640,tt4211044,tt5312370,tt3672840,tt3522530,tt4432144,tt2473682,tt2763746,tt3532976,tt3404140,tt2265398,tt2827192,tt2023453,tt1977822,tt2343536,tt1124035,tt1699231,tt2033328,tt0808510,tt1488574,tt1781820
65,tt6513120,tt8399664,tt6791096,tt6386684,tt7839456,tt2568862,tt5194504,tt6261048,tt2788732,tt4211312,tt5312612,tt3397884,tt3523852,tt4432480,tt2562232,tt2764784,tt3539966,tt1821694,tt2265453,tt2827320,tt1758830,tt1977895,tt2343582,tt0780504,tt1699233,tt2033357,tt1196141,tt1488601,tt1781838
66,tt7329656,tt8401820,tt8267604,tt6386748,tt7843946,tt1219827,tt5195828,tt6262764,tt2261287,tt4213806,tt5313414,tt4178092,tt3525584,tt4433970,tt1717715,tt2766790,tt3540420,tt1411250,tt2265534,tt2828022,tt1748122,tt1977941,tt2344824,tt1210166,tt1699491,tt2033947,tt1666186,tt1489172,tt1781853
67,tt7752126,tt8404614,tt5664636,tt6387506,tt7844166,tt0498381,tt5197092,tt6265536,tt1292566,tt4213832,tt5313980,tt1823672,tt3526286,tt4435282,tt2103254,tt2767440,tt3541028,tt1980209,tt2268458,tt2828840,tt1441951,tt1977953,tt2345513,tt1161864,tt1699513,tt2033952,tt1219342,tt1490602,tt1781866
68,tt10039344,tt8406276,tt2126357,tt6388074,tt7850980,tt2932536,tt5198670,tt6265988,tt4438848,tt4216890,tt5315110,tt2381111,tt3526470,tt4435628,tt1821658,tt2767712,tt3541124,tt0795461,tt2268573,tt2829458,tt1611224,tt1978451,tt2345539,tt1517489,tt1699758,tt2033997,tt0464154,tt1490759,tt1782415
69,tt6428676,tt8406738,tt5523010,tt6389802,tt7851964,tt4131800,tt5198796,tt6266218,tt4361050,tt4216902,tt5317950,tt2404425,tt3526706,tt4437046,tt1205537,tt2768486,tt3541358,tt2243537,tt2270802,tt2829544,tt1623288,tt1978479,tt2345561,tt1564349,tt1700258,tt2034011,tt1415283,tt1491603,tt1782467
70,tt6450804,tt8411144,tt1259528,tt6394430,tt7852120,tt1648190,tt5198868,tt6266992,tt2404435,tt4217446,tt5320514,tt0810819,tt3526924,tt4439120,tt1698641,tt2769184,tt3542320,tt0816442,tt2271275,tt2832422,tt2215285,tt1978480,tt2345695,tt1092026,tt1700423,tt2034026,tt1564585,tt1492872,tt1782568
71,tt1489887,tt8413338,tt2854926,tt6396074,tt7852918,tt3014284,tt5200368,tt6267944,tt2304933,tt4218538,tt5320518,tt3181822,tt3527014,tt4440036,tt1823664,tt2770026,tt3543234,tt0453562,tt2271671,tt2833386,tt2002626,tt1978567,tt2347289,tt1509767,tt1700458,tt2034060,tt1212419,tt1492959,tt1783311
72,tt6107548,tt8418126,tt5164432,tt6398496,tt7853242,tt5987402,tt5205256,tt6268152,tt3760922,tt4225478,tt5320522,tt3862750,tt3527166,tt4440114,tt1355630,tt2771506,tt3544654,tt2083355,tt2272336,tt2833408,tt1586265,tt1979172,tt2347479,tt1262416,tt1700467,tt2034692,tt0947810,tt1493089,tt1783345
73,tt2452244,tt8425516,tt4244998,tt6400166,tt7853260,tt4795124,tt5207262,tt6269658,tt4034228,tt4227282,tt5320892,tt1502712,tt3527510,tt4440798,tt2980648,tt2772762,tt3545892,tt1911644,tt2272582,tt2835548,tt1142977,tt1979319,tt2347569,tt1601913,tt1700468,tt2034741,tt1314655,tt1493243,tt1783350
